"","subject","observations","switches_medhmm","switches_mhmm","relative_switch_medhmm","relative_switch_mhmm","model_medhmm","model_mhmm"
"1",1,386,16,141,0.041,0.365,"medhmm","mhmm"
"2",2,589,0,2,0,0.003,"medhmm","mhmm"
"3",3,538,61,72,0.113,0.134,"medhmm","mhmm"
"4",4,405,41,137,0.101,0.338,"medhmm","mhmm"
"5",5,431,71,151,0.165,0.35,"medhmm","mhmm"
"6",6,540,83,147,0.154,0.272,"medhmm","mhmm"
"7",7,608,47,74,0.077,0.122,"medhmm","mhmm"
"8",8,559,16,58,0.029,0.104,"medhmm","mhmm"
"9",9,399,99,170,0.248,0.426,"medhmm","mhmm"
"10",10,613,50,157,0.082,0.256,"medhmm","mhmm"
"11",11,308,84,172,0.273,0.558,"medhmm","mhmm"
"12",12,427,115,252,0.269,0.59,"medhmm","mhmm"
"13",13,434,60,117,0.138,0.27,"medhmm","mhmm"
"14",14,428,16,24,0.037,0.056,"medhmm","mhmm"
"15",15,486,95,192,0.195,0.395,"medhmm","mhmm"
"16",16,541,111,225,0.205,0.416,"medhmm","mhmm"
"17",17,197,44,68,0.223,0.345,"medhmm","mhmm"
"18",18,869,13,23,0.015,0.026,"medhmm","mhmm"
"19",19,489,40,70,0.082,0.143,"medhmm","mhmm"
"20",20,566,95,181,0.168,0.32,"medhmm","mhmm"
